,Username,location,date,content,Rating
55,Jonah,GB,"Updated Mar 6, 2022","A nasty taste left in the mouth…A nasty taste left in the mouth…. could be the drink, could be the morally-bankrupt ethics of continuing to trade in Russia… will completely avoid until that bad taste is removedDate of experience: March 06, 2022",1
56,Darren Naidoo,ZA,"Mar 15, 2024","Glass in the cooldrinkI wanted to bring to your attention an incident involving a piece of sharp glass found in a bottle of Coca-Cola. Thankfully, my child noticed it before consuming the drink. Despite contacting your company, I received excuses and inadequate feedback for over a month. The response suggested it might have occurred during distribution, with no commitment to implementing preventive measures. This disregard for health and safety is deeply concerning, highlighting a priority on profit over consumer well-being.Date of experience: February 04, 2024",1
57,Cp,US,"Jun 19, 2023","Cokes secret policy !!!!We are mom and pop store . Over 25 years in business. My sales person told me June 14 that I have to make a order to get me through July 4 th because sales person gets a list of who he cannot deliver to during the holidays. REALLY!  Come  on coke!! This is horrible service!! I order every other week!! I don’t have the cash let alone the space to triple my order for the 4 th.  If I run out …. I’m filling that cooler with Pepsi!!!  Customers used to be important.  Lousy company policy.  Yeahhhh,deliver to big box stores that’s your policy now. We get it.   Treat the small stores like there nothing.Date of experience: June 19, 2023",1
58,Melissa B,ZA,"Sep 19, 2023","I would like to leave a solid 5/5…I would like to leave a solid 5/5 review for your coke zero. The formula was change a few years back and it has tasted so much better than the original coke recipe, but for ZERO calories. This has been a life-changer for my diet and it is so delicious when Im having a crazy sweet craving. Super happy with this. Please dont change the recipe :)Date of experience: October 19, 2022",5
59,Chris D,CR,"Dec 19, 2022","Been a Coca-Cola drinker for life.Been a Coca-Cola drinker for life. There is never anything more frustrating than finding that a restaurant only offers Pepsi. Get better and beating out Pepsi in restaurants and this is 5 stars all day.Date of experience: December 19, 2022",4
60,Rima Gebara,GB,"Dec 1, 2023","Coca Cola support Israeli brutalityCoca Cola operate in illegal Israeli settlements on land stolen from Palestinians. This is scandalous and they need to be forced to stop.Date of experience: November 30, 2023",1
61,Paula Edmundson,GB,"Mar 7, 2022","You are disgraceful and should be…You are disgraceful and should be utterly ashamed of yourselves.  Not everything is down to money you know.  There are principles involved and you have lost all of myself and my family as I won't be parting with 1p to support you ever again.  Evidently you are in Putins pocket.Date of experience: March 07, 2022",1
62,Andrew Weaver,GB,"May 22, 2023","Coca Cola company new 500ml bottle top openings.The Coca Cola company seem to have introduced a new opening top to it’s 500ml bottle. Why? They impede your ability to drink from the bottle and one of the plastic attachments from the bottle (as there are now two) has cut my lip open, so Saturday I was sat there with a split lip, blood running down my chin and my partner asking what the hell had I down!! My lip is very sore and continues to split every time I move it. Whatever has been done needs to be improved. If it can harm a grown adult, what could it do to a small child!! Not impressed.Date of experience: May 18, 2023",1
63,John Hole,GB,"Mar 4, 2024","UK and EU sugar tax problem.Coke and cherry Coke are the only original products available in the UK that taste good as they don't contain sweeteners, I also used to drink pepsi but since PEPSICO sneakily changed the recipe by adding sweeteners to pepsi original I won't ever buy any again.What would be good is if Coco Cola would restore some of their other beverages back to the original without sweeteners such as Fanta I'd start buying it again. I'd rather have the option of paying a bit more because of the wretched sugar tax than having all of the other drinks on my Avoid list because of added sweeteners to avoid sugar taxDate of experience: March 03, 2024",5
64,Peggy Tripp,US,"Jan 10, 2022","Coca-cola needs to go back to Coke…Coca-cola needs to go back to Coke Zero. The new CC No Sugar is not good and there is a definite difference between the two brands. Very disappointed that I can no longer find Coke Zero on shelves. Will NOT be buying anymore Coke products. CC needs to stop rebranding and stick to what works.Date of experience: January 10, 2022",1
